MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
g000007_900023,129.0129786,35.207262,2023-04-29 06:13,g_g000007
g000007_900023,129.012905,35.2072416,2023-04-29 06:15,g_g000007
g000007_900023,129.012985,35.2071637,2023-04-29 06:16,g_g000007
g000007_900023,129.0129927,35.207099,2023-04-29 06:18,g_g000007
g000007_900023,129.0128357,35.2070822,2023-04-29 06:20,g_g000007
g000007_900023,129.0128984,35.2071365,2023-04-29 06:22,g_g000007
g000007_900023,129.0128984,35.2071365,2023-04-29 06:24,g_g000007
g000007_900023,129.0128374,35.2068194,2023-04-29 06:26,g_g000007
g000007_900023,129.0128438,35.2068583,2023-04-29 06:28,g_g000007
g000007_900023,129.0128819,35.2068615,2023-04-29 06:30,g_g000007
g000007_900023,129.0130036,35.2070208,2023-04-29 06:32,g_g000007
g000007_900023,129.0128562,35.2069776,2023-04-29 06:34,g_g000007
g000007_900023,129.0127953,35.2071351,2023-04-29 06:35,g_g000007
g000007_900023,129.0127521,35.2071217,2023-04-29 06:37,g_g000007
g000007_900023,129.0127521,35.2071217,2023-04-29 06:39,g_g000007
g000007_900023,129.0129153,35.2070158,2023-04-29 06:41,g_g000007
g000007_900023,129.0128853,35.2070161,2023-04-29 06:43,g_g000007
g000007_900023,129.0128853,35.2070161,2023-04-29 06:45,g_g000007
g000007_900023,129.0128853,35.2070161,2023-04-29 06:47,g_g000007
g000007_900023,129.0127613,35.2069985,2023-04-29 06:49,g_g000007
g000007_900023,129.0127613,35.2069985,2023-04-29 06:51,g_g000007
g000007_900023,129.0127613,35.2069985,2023-04-29 06:53,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 06:55,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 06:57,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 06:58,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 07:00,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 07:02,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 07:04,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 07:06,g_g000007
g000007_900023,129.0129055,35.2070844,2023-04-29 07:08,g_g000007
g000007_900023,129.0126994,35.2070249,2023-04-29 07:10,g_g000007
g000007_900023,129.0127851,35.2069356,2023-04-29 07:11,g_g000007
g000007_900023,129.0127851,35.2069356,2023-04-29 07:13,g_g000007
g000007_900023,129.0131188,35.2070873,2023-04-29 07:15,g_g000007
g000007_900023,129.0128684,35.2070032,2023-04-29 07:17,g_g000007
g000007_900023,129.012948,35.207016,2023-04-29 07:19,g_g000007
g000007_900023,129.0130559,35.2070192,2023-04-29 07:21,g_g000007
g000007_900023,129.0130559,35.2070192,2023-04-29 07:23,g_g000007
g000007_900023,129.0130111,35.2070737,2023-04-29 07:25,g_g000007
g000007_900023,129.0128957,35.2070683,2023-04-29 07:26,g_g000007
g000007_900023,129.0129554,35.2071002,2023-04-29 07:28,g_g000007
g000007_900023,129.0129554,35.2071002,2023-04-29 07:30,g_g000007
g000007_900023,129.0128966,35.2071663,2023-04-29 07:32,g_g000007
g000007_900023,129.0129611,35.206979,2023-04-29 07:34,g_g000007
g000007_900023,129.0129009,35.2070481,2023-04-29 07:36,g_g000007
g000007_900023,129.0129009,35.2070481,2023-04-29 07:38,g_g000007
g000007_900023,129.0129009,35.2070481,2023-04-29 07:40,g_g000007
g000007_900023,129.0128514,35.2071439,2023-04-29 07:42,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:44,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:46,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:47,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:49,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:51,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:53,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:55,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:57,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 07:58,g_g000007
g000007_900023,129.012956,35.2071136,2023-04-29 08:00,g_g000007
g000007_900023,129.0128881,35.2071148,2023-04-29 08:02,g_g000007
g000007_900023,129.0128881,35.2071148,2023-04-29 08:04,g_g000007
g000007_900023,129.0128942,35.2070836,2023-04-29 08:06,g_g000007
g000007_900023,129.0128942,35.2070836,2023-04-29 08:08,g_g000007
g000007_900023,129.0128942,35.2070836,2023-04-29 08:09,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:11,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:13,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:15,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:17,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:19,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:20,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:22,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:24,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:26,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:28,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:30,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:31,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:33,g_g000007
g000007_900023,129.012969,35.2071095,2023-04-29 08:35,g_g000007
