TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f015891,김밥과 물과 티켓,2,2,4093745501,CU,경북 포항시 북구 양덕로 68,경북 포항시 북구 양덕동 1731,3304025,4711312200,2023-09-03 09:09,1,700,HEYROO미네랄워터P500,
f_f015891,김밥과 물과 티켓,3,2,6108212008,울산광역시남구도시관리공단,서울 강남구 테헤란로 131,서울 강남구 역삼동 647-9,3122010,1168010100,2023-09-02 00:19,1,14400,,
f_f015925,과자류/음료류,0,1,,노브랜드 엔터식스한양대점,155-1 B1층 101호,,,,,1,5000,,1120010700
f_f015944,간식 과자 등,1,5,6080732528,배스킨라빈스,경남 창원시 마산회원구 삼호로 56,경남 창원시 마산회원구 양덕동 151-1,3329020,4812710500,2023-09-09 15:17,1,11700,싱글레귤러콘;싱글레귤러컵,
f_f015944,간식 과자 등,2,5,2208160348,홈플러스,경남 창원시 마산회원구 삼호로 56,경남 창원시 마산회원구 양덕동 151-1,3329020,4812710500,2023-09-09 16:52,1,99640,인디카라멜팝콘;마켓오오징어톡;허니순살닭강정;처음처럼PET;해남꿀고구마스틱,
f_f015972,srt기차표,1,1,3058631590,주식회사 에스알,서울 강남구 광평로56길 12,,4166082,1168011500,2023-09-05 00:00,1,15600,기차표 ,
f_f015991,버스표,0,2,,인천종합버스터미널,15 인천종합버스터미널,,,,,1,117600,,2817710600
f_f016007,기차표 예매,2,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-10 16:04,1,16200,기차표 ,
f_f016007,기차표 예매,4,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-03 22:41,1,10800,기차표 ,
f_f016009,주유,1,2,1298633198,허스코분당충전소,경기 성남시 분당구 대왕판교로 359,경기 성남시 분당구 궁내동 302-8,3180005,4113511200,2023-09-02 21:08,1,25146,,
f_f016027,ITX,1,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,2023-09-10 11:57,3,5700,기차표,
f_f016027,ITX,2,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-10 00:00,3,5700,기차표 ,
f_f016099,시외버스 표,1,2,1048183559,주식회사 티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-15 18:06,1,28000,버스표,
f_f016099,시외버스 표,2,2,1048183559,(주)티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-16 18:17,1,28000,버스표 ,
f_f016120,요트 예매,1,3,2401701380,부산요트투어 G,부산 해운대구 해운대해변로 84,,3133043,2635010500,2023-09-03 23:11,1,40000,부산요트투어 해운대 광안리 더베이 퍼블릭 프라이빗 예약,
f_f016355,고속버스비,1,1,,,,,,,2023-09-09 07:50,3,12400,버스표,
f_f016393,쭈꾸미; 삼겹살; 장어,0,2,,오성정육점,174-4,,,,,5,50000,,4719025021
f_f016398,핸드폰 보조배터리,1,4,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-09-09 00:00,1,9810,[반품-최상]스피디 슬림 핏 보조배터리,
